age,sex,educ,race,income,married
47,1,1,1,0.0,0
18,1,9,1,1600.0,0
57,0,13,2,90000.0,1
47,1,11,1,0.0,1
27,0,11,3,15000.0,0
21,0,9,3,16500.0,0
93,1,12,1,88200.0,0
43,1,2,1,8800.0,0
47,1,13,3,66000.0,1
29,0,11,1,38300.0,0
47,0,9,3,23100.0,0
27,0,1,3,14800.0,1
42,1,13,4,60000.0,1
41,0,3,3,28000.0,1
22,1,11,3,12700.0,0
55,0,14,1,75000.0,1
18,0,7,1,500.0,0
40,0,9,1,14000.0,1
64,1,11,1,0.0,1
64,1,9,1,0.0,1
88,1,3,4,6000.0,0
24,1,9,2,10200.0,0
57,0,8,4,23000.0,1
76,1,10,1,0.0,1
43,1,9,3,38030.0,0
64,1,9,3,1700.0,1
21,1,11,3,18000.0,0
22,0,9,2,0.0,0
40,0,13,4,70000.0,1
30,1,5,1,39000.0,1
29,1,10,1,13000.0,0
43,0,11,3,15500.0,0
50,0,14,4,100000.0,1
63,0,11,1,1700.0,1
55,1,13,1,62000.0,1
25,0,13,3,26000.0,0
70,1,14,1,7770.0,0
33,0,11,1,275000.0,0
39,0,13,2,100050.0,1
30,1,11,1,36810.0,0
23,0,9,3,6500.0,1
65,0,9,1,26750.0,1
37,1,9,1,8100.0,0
37,0,14,1,61250.0,1
76,1,13,1,6050.0,1
57,1,10,1,15000.0,0
49,1,13,1,57130.0,1
84,1,8,1,10000.0,0
32,0,3,3,0.0,1
71,0,9,1,26550.0,1
58,0,13,1,92200.0,1
56,1,9,1,32000.0,1
51,0,13,2,48000.0,1
51,0,15,1,5400.0,1
53,1,13,1,200.0,1
20,0,8,2,2000.0,0
73,0,3,3,24200.0,0
38,1,2,3,0.0,0
50,0,13,1,22000.0,1
44,1,14,4,500.0,1
29,1,11,1,66400.0,0
